ofat_factor,ofat_value,agent,size,map_type,enemy_profile,item_profile,wall_profile,player_hp,enemy_hp,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction
enemy_profile,light,random,medium,baseline,light,many,open,4,2,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,18.5,4.998333055462925,2.7333333333333334,1.2666666666666666,0.3333333333333333,1.0,2.8,0.9869192959152358
enemy_profile,normal,heuristic,medium,baseline,normal,many,open,4,2,30,26,0.8666666666666667,0.7031831605558306,0.9469043057578189,8.3,1.5307950004273376,2.6,1.4,0.16666666666666666,1.25,3.4,0.9768896881694593
enemy_profile,normal,mcts_medium,medium,baseline,normal,many,open,4,2,30,30,1.0,0.8864829086095221,1.0,16.1,6.095626847721788,1.8333333333333333,2.1666666666666665,0.0,0.0,3.4,0.9768896881694593
enemy_profile,normal,mcts_small,medium,baseline,normal,many,open,4,2,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,15.933333333333334,5.982938705649219,2.3,1.7,0.06666666666666667,2.0,3.4,0.9768896881694593
enemy_profile,normal,random,medium,baseline,normal,many,open,4,2,30,0,0.0,0.0,0.113517091390478,14.933333333333334,3.767698973585278,4.0,0.0,1.7,1.7,3.4,0.9768896881694593
item_profile,few,heuristic,medium,baseline,medium_plus,few,open,4,2,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,9.1,2.4269322199023198,3.7333333333333334,0.26666666666666666,0.9666666666666667,1.3181818181818181,3.466666666666667,0.9649628938858529
item_profile,few,mcts_medium,medium,baseline,medium_plus,few,open,4,2,30,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,15.733333333333333,5.898775767526306,3.4,0.6,1.0,2.142857142857143,3.466666666666667,0.9649628938858529
item_profile,few,mcts_small,medium,baseline,medium_plus,few,open,4,2,30,12,0.4,0.24590394326083403,0.5767994750172616,15.4,4.62313025268955,3.433333333333333,0.5666666666666667,1.1,1.8333333333333333,3.466666666666667,0.9649628938858529
item_profile,few,random,medium,baseline,medium_plus,few,open,4,2,30,0,0.0,0.0,0.113517091390478,11.833333333333334,3.3174622161458833,4.0,0.0,2.7,2.7,3.466666666666667,0.9649628938858529
item_profile,normal,heuristic,medium,baseline,medium_plus,normal,open,4,2,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,9.233333333333333,2.4177583741051447,3.6333333333333333,0.36666666666666664,0.9,1.35,3.466666666666667,0.9649628938858529
item_profile,normal,mcts_medium,medium,baseline,medium_plus,normal,open,4,2,30,21,0.7,0.5212387898833981,0.8333543735604105,16.5,4.8287334433230695,2.6666666666666665,1.3333333333333333,0.6,2.0,3.466666666666667,0.9649628938858529
item_profile,normal,mcts_small,medium,baseline,medium_plus,normal,open,4,2,30,18,0.6,0.42320052498273836,0.7540960567391659,16.1,5.676559991168361,3.1666666666666665,0.8333333333333334,0.9333333333333333,2.3333333333333335,3.466666666666667,0.9649628938858529
item_profile,normal,random,medium,baseline,medium_plus,normal,open,4,2,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,12.533333333333333,4.387355569006105,3.966666666666667,0.03333333333333333,2.566666666666667,2.6551724137931036,3.466666666666667,0.9649628938858529
map_type,arena,heuristic,medium,arena,medium_plus,many,open,4,2,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,11.933333333333334,2.434930982366623,3.433333333333333,0.5666666666666667,0.9,1.588235294117647,1.0666666666666667,0.9672220252865416
map_type,arena,mcts_medium,medium,arena,medium_plus,many,open,4,2,30,26,0.8666666666666667,0.7031831605558306,0.9469043057578189,17.9,2.808914381037628,2.4,1.6,0.3,2.25,1.0666666666666667,0.9672220252865416
map_type,arena,mcts_small,medium,arena,medium_plus,many,open,4,2,30,23,0.7666666666666667,0.5907132766967574,0.8820776078949878,18.966666666666665,4.861298409090129,2.9,1.1,0.4,1.7142857142857142,1.0666666666666667,0.9672220252865416
map_type,arena,random,medium,arena,medium_plus,many,open,4,2,30,0,0.0,0.0,0.113517091390478,13.933333333333334,4.304519588628781,4.0,0.0,2.8,2.8,1.0666666666666667,0.9672220252865416
map_type,random_walk,heuristic,medium,random_walk,medium_plus,many,open,4,2,30,12,0.4,0.24590394326083403,0.5767994750172616,15.933333333333334,4.589359674532191,3.4,0.6,0.9,1.5,15.866666666666667,0.9463198712320746
map_type,random_walk,mcts_medium,medium,random_walk,medium_plus,many,open,4,2,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,36.5,12.878276282173792,2.7,1.3,0.5666666666666667,1.7,15.866666666666667,0.9463198712320746
map_type,random_walk,mcts_small,medium,random_walk,medium_plus,many,open,4,2,30,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,28.1,10.103959619871805,3.033333333333333,0.9666666666666667,0.7,1.9090909090909092,15.866666666666667,0.9463198712320746
map_type,random_walk,random,medium,random_walk,medium_plus,many,open,4,2,30,0,0.0,0.0,0.113517091390478,23.0,7.637626158259733,4.0,0.0,2.433333333333333,2.433333333333333,15.866666666666667,0.9463198712320746
player_hp,3,heuristic,medium,baseline,medium_plus,many,open,3,2,30,3,0.1,0.034599259959716175,0.2562144131526662,8.1,2.2561028345356955,2.9,0.1,1.5,1.6666666666666667,3.466666666666667,0.9649628938858529
player_hp,3,mcts_medium,medium,baseline,medium_plus,many,open,3,2,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489,15.3,5.145548237716431,1.9333333333333333,1.0666666666666667,0.7666666666666667,1.7692307692307692,3.466666666666667,0.9649628938858529
