engine,agent,mcts_iterations,mcts_rollout_depth,mcts_exploration,size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,player_hp,enemy_hp,ofat_factor,ofat_value,max_steps,seed,episode,map_seed,experiment_name,cell_id,won,turns,damage_taken,final_hp,remaining_enemies,map_width,map_height,generated_enemy_count,generated_obstacle_count,generated_obstacle_density,structurally_valid,reachable_floor_fraction,interior_wall_density,dead_end_count,chokepoint_count,min_enemy_attack_distance,avg_enemy_attack_distance,max_enemy_attack_distance
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,13,24,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,2,5,5.666666666666667,6
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,14,25,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,12,3,1,0,13,11,3,14,0.09,1,0.9647058823529412,0.1414141414141414,2,3,6,7.333333333333333,8
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,15,26,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,8,4,0,1,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,6,8,2,3.3333333333333335,6
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,16,27,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,11,4,0,1,13,11,3,13,0.09,1,0.9534883720930233,0.13131313131313133,3,4,3,6.0,9
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,17,28,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,9,3,1,0,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,5,5,6,7.0,8
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,18,29,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,2,3,6,7.333333333333333,8
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,19,30,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,5,4,0,2,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,4,4.333333333333333,5
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,20,31,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,11,3,1,0,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,1,1,4,8.666666666666666,13
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,21,32,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,3,3,4,7.333333333333333,10
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,22,33,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,10,3,1,0,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,0,0,5,7.0,11
