size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
medium,baseline,medium_plus,many,normal,medium_plus,many,default,3.3,2.8666666666666667,3.1333333333333333,4.0,10.866666666666667,18.8,17.1,14.966666666666667,0.5666666666666667,0.7,0.6,0.0,,0.1333333333333333,0.033333333333333326,0.09999999999999998,0.9333333333333332,balanced
medium,baseline,heavy,many,open,high,many,low,3.8,3.0,3.3,4.0,9.733333333333333,16.9,15.933333333333334,11.533333333333333,0.13333333333333333,0.6666666666666666,0.5,0.0,,0.5333333333333333,0.3666666666666667,0.16666666666666663,0.9299999999999999,expert-leaning
medium,random_walk,medium_plus,many,normal,medium_plus,many,default,3.6,3.1,3.066666666666667,4.0,17.066666666666666,38.13333333333333,34.666666666666664,28.866666666666667,0.3333333333333333,0.6333333333333333,0.7333333333333333,0.0,,0.3,0.39999999999999997,-0.09999999999999998,0.8966666666666665,balanced
medium,arena,heavy,normal,normal,high,normal,default,3.9,3.066666666666667,3.066666666666667,4.0,11.033333333333333,17.7,16.566666666666666,12.733333333333333,0.1,0.5333333333333333,0.5333333333333333,0.0,,0.43333333333333335,0.43333333333333335,0.0,0.7133333333333334,mixed
medium,random_walk,heavy,many,open,high,many,low,3.9,3.2666666666666666,3.566666666666667,4.0,17.266666666666666,29.966666666666665,27.6,19.966666666666665,0.1,0.5,0.36666666666666664,0.0,,0.4,0.2666666666666666,0.13333333333333336,0.6599999999999999,mixed
medium,arena,heavy,many,normal,high,many,default,3.966666666666667,3.1333333333333333,3.433333333333333,4.0,10.666666666666666,18.0,16.7,13.4,0.03333333333333333,0.5,0.4,0.0,,0.4666666666666667,0.3666666666666667,0.09999999999999998,0.6533333333333333,mixed
medium,arena,heavy,many,open,high,many,low,3.966666666666667,3.033333333333333,3.533333333333333,3.933333333333333,9.366666666666667,15.366666666666667,16.066666666666666,13.233333333333333,0.03333333333333333,0.5,0.3333333333333333,0.03333333333333333,,0.4666666666666667,0.3,0.16666666666666669,0.6366666666666666,mixed
medium,random_walk,medium_plus,normal,normal,medium_plus,normal,default,3.6,3.4,3.3,4.0,17.033333333333335,37.03333333333333,32.9,26.666666666666668,0.36666666666666664,0.4666666666666667,0.5,0.0,,0.10000000000000003,0.13333333333333336,-0.033333333333333326,0.6333333333333333,too hard
medium,baseline,normal,many,open,default,many,low,2.6,1.8333333333333333,2.3,4.0,8.3,16.1,15.933333333333334,14.933333333333334,0.8666666666666667,1.0,0.9666666666666667,0.0,,0.1333333333333333,0.09999999999999998,0.033333333333333326,0.6233333333333334,playable but easy
medium,baseline,normal,normal,open,default,normal,low,2.6333333333333333,2.066666666666667,2.3,3.966666666666667,8.2,15.7,14.933333333333334,14.866666666666667,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.03333333333333333,,0.09999999999999998,0.09999999999999998,0.0,0.6199999999999999,playable but easy
medium,baseline,heavy,many,normal,high,many,default,3.8666666666666667,3.2666666666666666,3.033333333333333,4.0,10.566666666666666,16.766666666666666,17.0,12.7,0.06666666666666667,0.4666666666666667,0.6,0.0,,0.4,0.5333333333333333,-0.1333333333333333,0.6033333333333333,too hard
medium,random_walk,heavy,many,normal,high,many,default,3.966666666666667,3.3666666666666667,3.7,4.0,15.333333333333334,33.1,32.63333333333333,21.833333333333332,0.03333333333333333,0.4666666666666667,0.23333333333333334,0.0,,0.43333333333333335,0.2,0.23333333333333334,0.6,too hard
