size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
small,arena,light,normal,normal,low,normal,default,1.65,0.95,1.65,2.8,4.85,10.6,11.6,13.55,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,arena,light,normal,open,low,normal,low,1.65,0.95,1.65,2.8,4.85,10.6,11.6,13.55,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
large,random_walk,heavy,many,normal,high,many,default,3.95,3.85,3.9,4.0,23.3,40.35,46.25,32.1,0.05,0.15,0.05,0.0,,0.09999999999999999,0.0,0.09999999999999999,0.09499999999999997,too hard
small,random_walk,heavy,normal,open,default,normal,low,1.45,1.35,1.3,2.25,13.9,15.05,15.35,18.1,0.95,1.0,1.0,0.85,,0.050000000000000044,0.050000000000000044,0.0,0.09000000000000014,too easy
small,random_walk,light,normal,open,low,normal,low,1.45,1.35,1.3,2.25,13.9,15.05,15.35,18.1,0.95,1.0,1.0,0.85,,0.050000000000000044,0.050000000000000044,0.0,0.09000000000000014,too easy
small,random_walk,heavy,few,open,default,few,low,1.45,1.35,1.3,2.25,13.9,15.05,15.35,18.1,0.95,1.0,1.0,0.85,,0.050000000000000044,0.050000000000000044,0.0,0.09000000000000014,too easy
small,random_walk,normal,few,open,default,few,low,1.45,1.35,1.3,2.25,13.9,15.05,15.35,18.1,0.95,1.0,1.0,0.85,,0.050000000000000044,0.050000000000000044,0.0,0.09000000000000014,too easy
small,random_walk,normal,normal,open,default,normal,low,1.45,1.35,1.3,2.25,13.9,15.05,15.35,18.1,0.95,1.0,1.0,0.85,,0.050000000000000044,0.050000000000000044,0.0,0.09000000000000014,too easy
small,random_walk,light,few,open,low,few,low,1.45,1.35,1.3,2.25,13.9,15.05,15.35,18.1,0.95,1.0,1.0,0.85,,0.050000000000000044,0.050000000000000044,0.0,0.09000000000000014,too easy
large,random_walk,heavy,normal,open,high,normal,low,4.0,3.85,3.75,4.0,18.8,28.35,29.7,23.85,0.0,0.15,0.2,0.0,,0.15,0.2,-0.05000000000000002,0.09,too hard
small,baseline,normal,normal,normal,default,normal,default,1.45,1.25,1.65,2.75,4.55,9.15,9.9,13.2,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
small,baseline,light,normal,normal,low,normal,default,1.45,1.25,1.65,2.75,4.55,9.15,9.9,13.2,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
small,arena,heavy,many,normal,default,many,default,1.5,1.15,1.65,2.7,4.8,10.0,12.7,14.0,1.0,1.0,0.95,0.75,,0.0,-0.050000000000000044,0.050000000000000044,0.07500000000000007,too easy
small,arena,normal,many,open,default,many,low,1.5,1.15,1.65,2.7,4.8,10.0,12.7,14.0,1.0,1.0,0.95,0.75,,0.0,-0.050000000000000044,0.050000000000000044,0.07500000000000007,too easy
small,arena,normal,many,normal,default,many,default,1.5,1.15,1.65,2.7,4.8,10.0,12.7,14.0,1.0,1.0,0.95,0.75,,0.0,-0.050000000000000044,0.050000000000000044,0.07500000000000007,too easy
small,baseline,heavy,few,normal,default,few,default,1.45,1.25,1.5,2.8,4.55,8.85,10.2,12.85,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
small,baseline,heavy,normal,normal,default,normal,default,1.45,1.25,1.65,2.75,4.55,9.15,9.9,13.2,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
small,arena,light,many,open,low,many,low,1.5,1.15,1.65,2.7,4.8,10.0,12.7,14.0,1.0,1.0,0.95,0.75,,0.0,-0.050000000000000044,0.050000000000000044,0.07500000000000007,too easy
small,arena,light,many,normal,low,many,default,1.5,1.15,1.65,2.7,4.8,10.0,12.7,14.0,1.0,1.0,0.95,0.75,,0.0,-0.050000000000000044,0.050000000000000044,0.07500000000000007,too easy
small,baseline,light,few,normal,low,few,default,1.45,1.25,1.5,2.8,4.55,8.85,10.2,12.85,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
small,arena,heavy,many,open,default,many,low,1.5,1.15,1.65,2.7,4.8,10.0,12.7,14.0,1.0,1.0,0.95,0.75,,0.0,-0.050000000000000044,0.050000000000000044,0.07500000000000007,too easy
small,baseline,normal,few,normal,default,few,default,1.45,1.25,1.5,2.8,4.55,8.85,10.2,12.85,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
medium,random_walk,light,many,open,low,many,low,1.05,1.4,1.35,2.4,10.35,22.4,21.05,25.75,1.0,1.0,1.0,0.75,,0.0,0.0,0.0,0.07500000000000007,too easy
