size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,agent,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction,avg_generated_enemy_count,avg_generated_obstacle_density,avg_interior_wall_density,avg_dead_end_count,avg_avg_enemy_attack_distance,avg_max_enemy_attack_distance
large,random_walk,normal,few,open,default,few,low,random,20,0,0.0,0.0,0.1611301254949332,29.1,6.869497798238238,4.0,0.0,2.5,2.5,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,many,normal,default,many,default,heuristic,20,9,0.45,0.25819502085709295,0.6579179916924003,25.0,5.873670062235365,3.4,0.6,0.55,1.0,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,many,normal,default,many,default,mcts_medium,20,9,0.45,0.25819502085709295,0.6579179916924003,59.55,21.282563285469163,3.25,0.75,0.8,1.4545454545454546,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,many,normal,default,many,default,mcts_small,20,15,0.75,0.5312949900419365,0.888139947210597,51.7,20.256110189273752,2.8,1.2,0.5,2.0,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,many,normal,default,many,default,random,20,0,0.0,0.0,0.1611301254949332,38.5,17.0923959701383,4.0,0.0,2.35,2.35,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,many,open,default,many,low,heuristic,20,10,0.5,0.2992949144298199,0.7007050855701801,21.05,3.4565155865408737,3.2,0.8,0.5,1.0,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,many,open,default,many,low,mcts_medium,20,13,0.65,0.43285051021946463,0.8188104521320554,41.8,12.890306435457616,2.95,1.05,0.55,1.5714285714285714,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,many,open,default,many,low,mcts_small,20,16,0.8,0.5839782779742401,0.9193436467288,31.8,8.914033879226622,2.4,1.6,0.35,1.75,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,many,open,default,many,low,random,20,0,0.0,0.0,0.1611301254949332,28.95,7.242064622743987,4.0,0.0,2.55,2.55,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,normal,normal,default,normal,default,heuristic,20,7,0.35,0.18118954786794464,0.5671494897805354,24.95,5.826448317800476,3.5,0.5,0.65,1.0,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,normal,normal,default,normal,default,mcts_medium,20,12,0.6,0.3865779423152061,0.7811960325858074,59.9,23.592159714617058,3.2,0.8,0.55,1.375,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,normal,normal,default,normal,default,mcts_small,20,13,0.65,0.43285051021946463,0.8188104521320554,49.25,23.23547933656631,3.1,0.9,0.65,1.8571428571428572,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,normal,normal,default,normal,default,random,20,0,0.0,0.0,0.1611301254949332,37.9,13.490366933482573,4.0,0.0,2.35,2.35,37.85,0.9470419479981047,3.0,0.6199999999999999,0.6163636363636362,5.35,24.066666666666666,24.9
large,random_walk,normal,normal,open,default,normal,low,heuristic,20,9,0.45,0.25819502085709295,0.6579179916924003,21.2,4.007492981902776,3.55,0.45,0.65,1.1818181818181819,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,normal,open,default,normal,low,mcts_medium,20,10,0.5,0.2992949144298199,0.7007050855701801,40.2,14.871449156017043,3.1,0.9,0.85,1.7,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,normal,open,default,normal,low,mcts_small,20,13,0.65,0.43285051021946463,0.8188104521320554,35.75,9.224288590455092,3.15,0.85,0.6,1.7142857142857142,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
large,random_walk,normal,normal,open,default,normal,low,random,20,0,0.0,0.0,0.1611301254949332,28.75,6.331469023852206,4.0,0.0,2.55,2.55,13.75,0.9697480137434775,3.0,0.30999999999999994,0.3087878787878787,4.35,19.133333333333333,19.95
medium,arena,heavy,few,normal,high,few,default,heuristic,20,0,0.0,0.0,0.1611301254949332,10.4,2.5179356624028344,4.0,0.0,2.45,2.45,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
